,Title,Source,Link,Excerpt,RawText,Tags,Date,PDF
0,Canada: Liu Xiaobo Empty Chair Memorial Unveiling Ceremony,Amnesty Canada (English),https://amnesty.ca/news/canada-liu-xiaobo-empty-chair-memorial-unveiling-ceremony/,"Amnesty International, PEN Canada and Toronto Association for Democracy in China are pleased to announce the unveiling of the Liu Xiaobo Empty Chair Memorial on: Date:               Tuesday, August 13, 2019 at 2 p.m. Location:        Amnesty International, 312 Laurier Avenue...","Amnesty International, PEN Canada and Toronto Association for Democracy in China are pleased to announce the unveiling of the Liu Xiaobo Empty Chair Memorial on:
Date:               Tuesday, August 13, 2019 at 2 p.m.
Location:        Amnesty International, 312 Laurier Avenue East, Ottawa
Speakers:
Setsuko Thurlow, recipient of the 2017 Nobel Peace Prize on behalf of the International Campaign to Abolish Nuclear Weapons;
Wang Juntao, political activist and friend of Liu during the 1989 pro-democracy movement;
Ti‑Anna Wang, daughter of Wang Binzhang, political prisoner and founder of Chinese pro-democracy movement overseas;
Senator Con Di Nino
Alex Neve, Secretary General, Amnesty International Canada
Richard Stursberg, Chair, PEN Canada
Winnie Ng, Chair, Toronto Association for Democracy in China
Writer, literary critic, philosopher and human rights activist Liu Xiaobo co-wrote Charter 08, a manifesto calling for freedom of expression, human rights, and political reforms in China. He was arrested and sentenced to 13 years in prison in 2009.
Liu was awarded the 2010 Nobel Peace Prize for his long and non-violent struggle for fundamental human rights in China. The Chinese government refused to allow him to travel Oslo to receive the prize. His absence was marked by an empty chair on stage during the award ceremony.
Liu died in prison on July 13, 2017.
The Liu Xiaobo Memorial is a bronze replica of the “empty chair” by Ruth Abernethy, a Canadian sculptor whose iconic works include the Glenn Gould statue at CBC in Toronto, the Oscar Peterson statue at the National Arts Centre in Ottawa, as well as the Goddess of Democracy at York University, Toronto.
“Liu Xiaobo – be it through the courage of his activism, the injustice of his imprisonment, the power of his Nobel Prize, the heartbreak of his forced separation from Liu Xia or the tragedy of his death in custody in China – has long embodied the very essence of the global human rights struggle,” said Alex Neve, Secretary General, Amnesty International Canada. “Drawing on his legacy, the Empty Chair will be an evocative public reminder of our collective responsibility to insist that universal human rights be upheld, at all times and by all governments. It will offer a place for passersby to reflect and to make a commitment to act for rights and justice. Amnesty International is deeply honoured to host this magnificent sculpture, combining the beauty of art with a crucial message of our shared humanity.”
Media contact: Cheuk Kwan, (416) 804 1527 ckwan@tissa.com 
Make a gift to support human rights today.","['News', 'Canada', 'China', 'Media advisories']","August 11, 2019",False
0,Hong Kong: Police should exercise restraint to avoid escalating violence ,Amnesty Canada (English),https://amnesty.ca/news/hong-kong-police-should-exercise-restraint-avoid-escalating-violence/,"In response to police operations on Aug 11, where rounds of tear gas and rubber bullets were fired, Man-Kei Tam, Director of Amnesty International Hong Kong said:  “Hong Kong police have once again used tear gas and rubber bullets in a way that have fallen short of international...","In response to police operations on Aug 11, where rounds of tear gas and rubber bullets were fired, Man-Kei Tam, Director of Amnesty International Hong Kong said: 
“Hong Kong police have once again used tear gas and rubber bullets in a way that have fallen short of international standards. Firing at retreating protesters in confined areas where they had little time to leave goes against the purported objective of dispersing a crowd.” 
According to media reports, one protester suffered from a ruptured eye in Tsim Sha Tsui after being shot by what appeared to be a bean bag projectile from the police. Police fired multiple rounds of tear gas and pepper ball projectiles were fired within a short range inside a train station in Kwai Fong and Taikoo against protesters, sometimes aiming at their heads and upper bodies.  
Tear gas should not be used in confined spaces or where exits are blocked or restricted. Tear gas, rubber bullets and pepper ball projectiles can cause serious injury and is even potentially lethal. They should therefore never be fired directly at anyone and should not be fired at all when visibility is poor. When such weapons are deployed, it must be in strict compliance with the principles of legality, necessity and proportionality.  
“The Hong Kong police have once again demonstrated how not to police a protest,” said Man-kei Tam. “Law enforcement officials must be able to carry out their duty to protect the public. However, violence directed at police does not give officers a green light to operate outside of international policing standards.” 
“Any heavy-handed policing approach will only increase tension and provoke hostility, leading to the overall escalation of the situation.”  
Amnesty International is calling on all governments to suspend transfers of less lethal “crowd control” equipment to Hong Kong until a full and independent investigation is carried out, and adequate safeguards are put in place. 
Notes to editors
Amnesty International’s team in Hong Kong continue to monitor the ongoing protests.
Spokespeople are available in English and Cantonese. Please contact Lucy Scholey, Media Relations, Amnesty International Canada (English branch), 613-744-7667 ext. 236 lscholey@amnesty.ca 
Make a gift to support human rights today.","['News', 'Hong Kong']","August 11, 2019",False
0,What You Can Do,Amnesty Canada (English),https://amnesty.ca/what-you-can-do/,"HUMAN RIGHTS NEED YOU! Whether you have five minutes to take a quick action right now, you’re looking for a way to get more involved in your community, or anything in between, we need you to speak up, show up, and stand up for human rights today. Together, we are a powerful force demanding that...",Inspection flag,,"August 11, 2019",False
0,Who We Are,Amnesty Canada (English),https://amnesty.ca/who-we-are/,Amnesty International: Origins,Inspection flag,,"August 11, 2019",False
0,Good news: Saeed Malekpour arrives home in Canada,Amnesty Canada (English),https://amnesty.ca/blog/blog-good-news-saeed-malekpour-arrives-home-canada/,"On August 2, Maryam Malekpour was finally reunited with her brother Saeed in Vancouver after she had campaigned tirelessly for 11 years to free him from prison in Iran. “The nightmare is finally over!” Maryam wrote on Twitter. “Together we prevailed.” Maryam thanked “every single person...","On August 2, Maryam Malekpour was finally reunited with her brother Saeed in Vancouver after she had campaigned tirelessly for 11 years to free him from prison in Iran. 
“The nightmare is finally over!” Maryam wrote on Twitter. “Together we prevailed.” 
Maryam thanked “every single person who supported us throughout this time.” 
Saeed, a permanent resident of Canada, was arrested in Iran in October 2008 while on a visit to his dying father. 
Saeed was a web programmer and it was alleged that a program he developed was used to upload pornographic photos to the internet. Saeed had no knowledge of the program being used for that purpose. 
After his arrest, Saeed was held in solitary confinement for more than a year. Ill-treated, tortured and denied medical care until he “confessed”, Saeed’s televised “confession” was the only evidence used against him. 
Following an unfair trial, Saeed was sentenced to death. In 2012, his sentence was reduced to life imprisonment. 
Amnesty activists threw their support behind Maryam’s campaign to free Saeed. They took part in public events to raise awareness of Saeed’s situation, and they wrote to their MPs and to Canada’s government asking them to not forget Saeed and to do everything in their power to secure Saeed’s release. 
In 2012, when Saeed was facing imminent execution, Amnesty mobilized the Urgent Action Network to call on the Iranian authorities to not execute Saeed. Time and again, Amnesty supporters pressed the Iranian authorities to set him free. 
Last week, after many years of intense campaigning, it was reported that Saeed was given a temporary release from prison, and it was during this time that he was able to return to Canada and be reunited with family and friends.   
 
Nasrin Sotoudeh: human rights lawyers sentenced to 38 years in prison. Click here to take action for Nasrin>> 
Narges Mohammadi: sentenced for 16 years for campaigning for gender equality. Click here to take action for Narges>> 
Atena Daemi: facing 7 years for standing up for women’s rights. Click here to take action for Atena>> 
  
Make a gift to support human rights today.","['Blog', 'Good News', 'Iran']","August 8, 2019",False
0,Homepage,Amnesty Canada (English),https://amnesty.ca/,"Latest in Human Rights



We campaign for a world where human rights are enjoyed by all







Amnesty International is a global movement of more than 7 million people in over 150 countries and territories who campaign for human rights.









Who We Are






Since 1961, we’ve been helping...",Inspection flag,,"August 7, 2019",False
0,Amnesty International endorses campaign to bring 200 refugees on Manus and Nauru to Canada,Amnesty Canada (English),https://amnesty.ca/news/amnesty-international-endorses-campaign-bring-200-refugees-manus-and-nauru-canada/,"Amnesty International is proudly supporting a new project, Operation #NotForgotten, which will sponsor up to 200 refugees living on the isolated Nauru and Manus Islands.  The campaign is an initiative of Canada Caring Society and MOSAIC, which are working with partners in Australia to raise $3.3...","Amnesty International is proudly supporting a new project, Operation #NotForgotten, which will sponsor up to 200 refugees living on the isolated Nauru and Manus Islands. 
The campaign is an initiative of Canada Caring Society and MOSAIC, which are working with partners in Australia to raise $3.3 million to bring 200 refugees to Canada. Hassan Al Kontar, an advocate and Syrian refugee who lived in the Kuala Lumpur airport for seven months and was detained in a Malaysian detention centre for two months, is also leading this project. Since moving to Vancouver, BC last year, Al Kontar has wished to help other refugees resettle in Canada.
“For years, refugees and asylum seekers have been detained in desperate and inhumane conditions in Australia’s cruel offshore detention policy,” said Justin Mohammed, Human Rights Law and Policy Campaigner with Amnesty International Canada. “This resettlement project will finally offer hope to those who have essentially been living in open air prisons, with little freedom to move and a lack of appropriate healthcare.”
Nearly half of the men and women still being detained on these islands have been accepted for resettlement to the United States, but almost 200 refugees are still waiting with no other alternative in sight. All funds raised through Operation #NotForgotten will support the sponsorship and settlement of these 200 refugees. MOSAIC will hold and disburse the funds and all donors will receive a charitable tax receipt. 
Background:
Since 2013, Australia has been sending refugees who attempt to reach its shores by boat to be ‘processed’ on Nauru or Manus Islands in Papua New Guinea. On these remote islands, thousands of people have endured years of detention and abuse while their refugee claims are assessed.
To arrange an interview, please contact:
Laurie Cooper
Founder/Director
Canada Caring Society
E: laurie@canadacaring.org
W: www.canadacaring.org
Saleem Spindari
Senior Manager
Refugees and Migrant Workers Programs
MOSAIC
E: sspindari@mosaicbc.org
W: www.mosaicbc.org
Hassan Al Kontar
Refugee Advocate
E: hassan@manattheairport.com
W: www.manattheairport.com 
Make a gift to support human rights today.","['News', 'Canada', 'Public statements', 'Australia']","August 7, 2019",False
0,Italy/Malta/Spain: 121 people including babies and children stranded at sea in searing heat must be allowed to dock,Amnesty Canada (English),https://amnesty.ca/news/italymaltaspain-121-people-including-babies-and-children-stranded-sea-searing-heat-must-be/,"More than 30 children, including two babies, and nearly 90 men and women stranded at sea in searing temperatures, must be immediately allowed to dock, said Amnesty International, as the stand-off between the Italian, Maltese and Spanish authorities and a NGO rescue ship enters its second week....","More than 30 children, including two babies, and nearly 90 men and women stranded at sea in searing temperatures, must be immediately allowed to dock, said Amnesty International, as the stand-off between the Italian, Maltese and Spanish authorities and a NGO rescue ship enters its second week.
Despite mounting concerns for their well-being, Italian and Maltese authorities are refusing a port where they could safely be disembarked. Spanish authorities have yet to formally request help from European institutions to mediate a solution.
“After a week stranded at sea in blistering heat, these women, men and children who have risked their lives to escape human rights abuses in Libya should be immediately disembarked either in Malta or Italy,” said Maria Serrano, Amnesty International’s Senior Researcher on Migration.
“Despite mounting concerns for the well-being of those on board, politicians are shamelessly breaching their responsibilities under international law by refusing to grant a safe port to people who could face torture if returned to Libya and who are exhausted and in need of protection and care.”
Seven days after they were rescued from the water by the Proactiva Open Arms NGO ship, 121 people – including 30 children and two babies – remain on board in sweltering heat and overcrowded conditions. The ship, sailing under the Spanish flag, remains about 30 nautical miles from Italy, between Malta and Lampedusa.
Those on board were saved in two rescues on 1 and 2 August in international waters, the first at 78 nautical miles from Libya and the second one close to the Maltese search and rescue zone. Many claim to have suffered extreme forms of abuse whilst in detention in Libya and some reportedly have third degree burns and gunshot wounds. At least one man claims to have sustained his injuries during last month’s attack on Tajoura detention centre in Tripoli.
This stand-off comes a day after the Italian parliament signed off on Minister of Interior Salvini’s second “security decree”. The new law, dubbed “the Decreto Sicurezza bis”, means that private rescue boats entering Italian territorial waters without permission could face fines of up to 1 million Euros and be impounded.
This is just the latest in a series of instances of ships in the Central Mediterranean rescuing people at sea only to be blocked from docking in the nearest safe port. UNHCR and UN Special rapporteurs have already criticized the new measures which could further discourage shipmasters from rescuing people while states have mostly withdrawn from rescue efforts in the central Mediterranean. Meanwhile, another boat from the NGO Proactiva, the Astral, will depart from Spain on Saturday to provide assistance – including food, water and medical supplies – to the Open Arms.
“It is unconscionable that just off the beaches on which holiday-makers bask, babies are stranded at sea. European states, starting with Italy and Malta, have brazenly undermined the search and rescue system and used people as pawns to negotiate abusive migration policies, with callous disregard for peoples’ safety,” said Maria Serrano.
“It is time that European governments stop playing with people’s lives and deploy adequate resources for search and rescue where they are needed. They must urgently agree on a swift and predictable disembarkation mechanism in line with international law and on a fair system to distribute asylum-seekers among EU countries.”
For more information or to arrange an interview contact Lucy Scholey, Amnesty International Canada (English), + 613-744-7667 ext. 236, lscholey@amnesty.ca.
Background:
Prompt disembarkation is discouraged by the unfairness of the European asylum rules (the so-called Dublin system). These determine the country responsible for examining an asylum application.
Usually the country through which the asylum-seeker first entered the EU is responsible for examining their asylum claim. This forces a few countries to process the majority of the applications.
For more information see our 2018 report https://www.amnesty.org/en/documents/eur30/8906/2018/en/
Also see https://www.amnesty.org/en/documents/eur01/9961/2019/en/ 
Make a gift to support human rights today.","['News', 'News releases', 'Spain', 'Malta', 'Italy']","August 7, 2019",False
0,Global Human Rights Movement Issues Travel Warning for the U.S. Due to Rampant Gun Violence,Amnesty Canada (English),https://amnesty.ca/news/global-human-rights-movement-issues-travel-warning-us-due-rampant-gun-violence/,"Amnesty International today issued a travel warning calling for possible travelers and visitors to the United States to exercise extreme caution when traveling throughout the country due to rampant gun violence, which has become so prevalent in the United States that it amounts to a human rights...","Amnesty International today issued a travel warning calling for possible travelers and visitors to the United States to exercise extreme caution when traveling throughout the country due to rampant gun violence, which has become so prevalent in the United States that it amounts to a human rights crisis. It aims to hold up a mirror to the U.S. using the model of the United States Department of State’s travel advice for U.S. travelers to other countries.
“Travelers to the United States should remain cautious that the country does not adequately protect people’s right to be safe, regardless of who they might be. People in the United States cannot reasonably expect to be free from harm – a guarantee of not being shot is impossible,” said Ernest Coverson, campaign manager for the End Gun Violence Campaign at Amnesty International USA. “Once again, it is chillingly clear that the U.S. government is unwilling to ensure protection against gun violence.”
The travel advisory addressed growing gun violence, mostly hate crimes, including racism and discrimination, highlighting that the traveler’s race, country of origin, ethnic background, sexual orientation or gender identity may place them at higher risk after recent attacks linked to white supremacist ideology. 
The action called attention to the extent to which all aspects of life in the United States have been compromised in some way by unfettered access to guns, without comprehensive and uniform regulation of their acquisition and use. By prioritizing gun ownership over basic human rights, the U.S. government is willfully and systematically failing on multiple levels and ignoring its international obligations to protect people’s rights and safety.
Amnesty International has been calling for common sense reform regarding the use and possession of firearms, including comprehensive background checks, national regulations for registering and licensing firearms, required training, a ban on high capacity magazines/assault weapons, and mandatory safe-storage laws. Amnesty International USA’s campaign to end gun violence has focused efforts on passing S.42., the Assault Weapons ban, and the Disarm Hate Act.
Background 
A report by Amnesty International, “In the Line of Fire: Human Rights and the U.S. Gun Violence Crisis” examined how all aspects of American life have been compromised in some way by the unfettered access to guns, with no attempts at meaningful national regulation. 
Last month, Amnesty International published a report examining how survivors of gun violence in the United States suffer years of trauma and pain due to a destructive combination of government policies which ignore their needs.  
Make a gift to support human rights today.","['News', 'USA']","August 6, 2019",False
0,Amnesty International welcomes Saeed Malekpour’s return to Canada,Amnesty Canada (English),https://amnesty.ca/news/amnesty-international-welcomes-saeed-malekpours-return-canada/,"After learning that Saeed Malekpour has returned to Canada following close to 11 years of unjust and unlawful imprisonment in Iran, Amnesty International Canada Secretary General Alex Neve said: “We are relieved and delighted to learn of Saeed Malekpour’s safe return to Canada after more than a...","After learning that Saeed Malekpour has returned to Canada following close to 11 years of unjust and unlawful imprisonment in Iran, Amnesty International Canada Secretary General Alex Neve said:
“We are relieved and delighted to learn of Saeed Malekpour’s safe return to Canada after more than a decade in Iran’s notorious Evin Prison. Saeed’s resilient spirit in the face of torture, psychological abuse, forced confessions and unjust imprisonment has been truly remarkable.  His return home is testament as well to the courage and dedication of his sister, Maryam Malekpour, who diligently worked to shed light on his situation and tirelessly led the campaign for his freedom. Amnesty International Canada extends a warm welcome home to Saeed and wishes him and Maryam well in their long-awaited reunion.”
Alex Neve further said:
“Amnesty International has long called on Iranian authorities to carry out a prompt, independent, impartial investigation into Saeed Malekpour’s allegations of torture and other ill-treatment and bring to justice anyone suspected of responsibility for the human rights violations he has experienced.
Amnesty International also continues to call on the Iranian government to release all prisoners of conscience in Iran and to address other cases involving human rights violations against Canadians or individuals with close connections to Canada. Canadian citizen Maryam Mombeini has been refused permission to leave Iran for eighteen months, since the troubling death of her husband, environmentalist and Canadian citizen Kavous Seyed-Emami, while he was detained at Evin Prison. She must be allowed unconditionally to return to her family in Canada.”
Background:
Saeed Malekpour, a web developer and Canadian permanent resident, was arrested in 2008 during a trip to visit his ailing father in Iran. Initially sentenced to death for “spreading corruption on earth” in relation to a web program he created to upload photos to the internet, his sentence was later commuted to life imprisonment. On August 2, 2019, Saeed Malekpour safely returned to Canada. 
Amnesty International considered Saeed Malekpour’s detention to have been on the basis of unfounded and politicized charges and the organization’s members across Canada and around the world actively campaigned for Saeed Malekpour’s release.
Amnesty International understands that neither Saeed Malekpour’s lawyer or family in Iran were involved in or aware of the circumstances leading to his departure from Iran.  His escape was facilitated and arranged from outside the country. 
Make a gift to support human rights today.","['News', 'Israel and the Occupied Palestinian Territories', 'Canada', 'Public statements']","August 6, 2019",False
