,,,
not interested ,,interested,
https://www.amnesty.org/en/latest/news/2009/04/african-organizations-call-sudan-readmit-aid-agencies-20090408/,,https://www.amnesty.org/en/documents/pol32/003/1999/en/,
https://www.amnesty.org/en/latest/press-release/2008/10/world-people-living-poverty-must-be-part-solution-20081016/,,https://www.amnesty.org/en/documents/pol32/4026/2021/en/,
https://www.amnesty.org/en/latest/news/2008/11/neither-violence-against-women-nor-poverty-are-inevitable-200811/,,https://www.amnesty.org/en/documents/eur58/4120/2021/en/,interested but for internal use only
https://www.amnesty.org/en/latest/news/2009/01/iranian-aids-doctors-tried-closed-hearing-20090108/,,https://www.amnesty.org/en/documents/ior40/4776/2021/en/,interested but for internal use only
https://www.amnesty.org/en/latest/press-release/2008/02/forced-evictions-cambodia-homes-razed-lives-ruins-20080211/,,https://www.amnesty.org/en/latest/education/2022/03/amnesty-international-submission-to-the-council-of-europe-democratic-citizenship-and-human-rights-education-charter-review-2017-2021/,interested but for internal use only
https://www.amnesty.org/en/latest/news/2008/06/call-action-world-refugee-day-20-june-20080620/,,https://www.amnesty.org/en/human-rights-education/human-rights-friendly-schools/,
https://www.amnesty.org/en/latest/press-release/2008/04/jamaica-poor-communities-held-hostage-gang-violence-and-government-negl-0/,,https://www.amnesty.org/en/documents/sec01/0006/2013/en/,
https://www.amnesty.org/en/documents/afr62/008/2003/en/,,https://www.amnesty.org/en/documents/sec01/0054/2011/en/,
https://www.amnesty.org/en/documents/asa31/054/2005/en/,,https://www.amnesty.org/en/latest/news/2022/01/amnesty-launches-game-app-to-make-human-rights-learning-accessible/,
https://www.amnesty.org/en/latest/news/2022/03/a-guide-to-how-amnesty-verifies-military-attacks-in-ukraine/,,https://www.amnesty.org/en/latest/news/2018/07/new-microlearning-human-rights-courses/,
https://www.amnesty.org/en/latest/press-release/2012/06/uganda-police-raid-lgbt-rights-workshop/,,https://www.amnesty.org/en/documents/act35/020/2011/en/,
https://www.amnesty.org/en/documents/asa33/051/2006/en/,,https://www.amnesty.org/en/documents/act10/002/1997/en/,
https://www.amnesty.org/en/documents/nws21/006/1997/en/,,https://www.amnesty.org/en/latest/education/2015/10/8-educational-resources-to-better-understand-the-refugee-crisis/,
https://www.amnesty.org/en/latest/campaigns/2017/04/over-4-million-messages-for-write-for-rights/,,https://www.amnesty.org/en/documents/POL32/001/2012/en/,
https://www.amnesty.org/en/latest/news/2022/03/the-pegasus-project-how-amnesty-tech-uncovered-the-spyware-scandal-new-video/,,https://www.amnesty.org/en/latest/news/2012/10/lessons-well-learnt-new-guide-promotes-global-human-rights-education//,
https://www.amnesty.org/en/documents/afr03/3879/2021/en/,,https://www.amnesty.org/en/documents/act30/001/1998/en/,
https://www.amnesty.org/en/documents/pol30/002/2014/en/,,https://www.eduworkout.org/en/projects/33,
https://www.amnesty.org/en/documents/act33/001/1994/en/,,https://www.amnesty.org/en/latest/education/2021/03/micro-learning-module-on-consent/,
https://www.amnesty.org/en/latest/press-release/2011/07/little-progress-second-anniversary-prominent-chechen-activiste28099s-killing-201/,,https://www.amnesty.org/en/latest/education/2019/06/moldova-national-human-rights-curricula/,
https://www.amnesty.org/en/latest/news/2022/04/bangladesh-schoolteacher-detained-for-discussing-the-difference-between-science-and-religion-must-be-immediately-released/,,https://www.amnesty.org/en/latest/education/2016/02/10-quotes-on-the-power-of-human-rights-education/,
https://www.amnesty.org/en/latest/news/2020/08/yasmin-kayali-lebanon-refugee-leaders/,,https://www.amnesty.org/en/latest/campaigns/2021/01/teacher-training-in-the-time-of-coronavirus/,
https://www.amnesty.org/en/latest/news/2022/04/bangladesh-schoolteacher-detained-for-discussing-the-difference-between-science-and-religion-must-be-immediately-released/,,https://www.amnesty.org/en/latest/education/2016/08/training-young-hong-kong-journalists-on-human-rights/,
https://www.amnesty.org/en/latest/press-release/2021/02/hong-kong-new-national-security-guidelines-on-schools-further-stifle-freedom-of-expression-on-campus//,,https://www.amnesty.org/en/latest/education/2016/06/three-ways-schools-and-students-across-europe-are-promoting-refugee-rights/,
https://www.amnesty.org/en/latest/campaigns/2016/01/online-harassment-in-pakistan-and-how-women-are-fighting-back/,,https://www.amnesty.org/en/latest/education/2016/01/professionals-are-taking-a-stand-to-stop-violence-and-discrimination-against-women-in-morocco/,
https://www.amnesty.org/en/latest/news/2022/12/international-human-rights-groups-call-for-release-ofleading-turkish-human-rights-defender-and-physician/,,https://www.amnesty.org/en/latest/education/2015/05/when-classmates-take-education-into-their-own-hands-confidence-and-grades-go-up-in-portugal/,
